movieId,title,genres,tmdbId,year,clean_title,tmdb_content,content
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,862.0,1995,Toy Story,Tom Hanks Tim Allen Don Rickles Jim Varney Wallace Shawn rescue friendship mission jealousy villain bullying elementary school rivalry anthropomorphism friends computer animation buddy walkie talkie toy car boy next door new toy neighborhood toy comes to life resourcefulness toy,Toy Story Adventure Animation Children Comedy Fantasy 1995 Tom Hanks Tim Allen Don Rickles Jim Varney Wallace Shawn rescue friendship mission jealousy villain bullying elementary school rivalry anthropomorphism friends computer animation buddy walkie talkie toy car boy next door new toy neighborhood toy comes to life resourcefulness toy
2,Jumanji (1995),Adventure|Children|Fantasy,8844.0,1995,Jumanji,,Jumanji Adventure Children Fantasy 1995 
3,Grumpier Old Men (1995),Comedy|Romance,15602.0,1995,Grumpier Old Men,,Grumpier Old Men Comedy Romance 1995 
4,Waiting to Exhale (1995),Comedy|Drama|Romance,31357.0,1995,Waiting to Exhale,,Waiting to Exhale Comedy Drama Romance 1995 
5,Father of the Bride Part II (1995),Comedy,11862.0,1995,Father of the Bride Part II,"Steve Martin Diane Keaton Martin Short Kimberly Williams-Paisley George Newbern daughter baby parent child relationship midlife crisis pregnancy confidence aging sequel remake los angeles, california pregnant woman contraception gynecologist pregnant","Father of the Bride Part II Comedy 1995 Steve Martin Diane Keaton Martin Short Kimberly Williams-Paisley George Newbern daughter baby parent child relationship midlife crisis pregnancy confidence aging sequel remake los angeles, california pregnant woman contraception gynecologist pregnant"
6,Heat (1995),Action|Crime|Thriller,949.0,1995,Heat,"Al Pacino Robert De Niro Val Kilmer Jon Voight Tom Sizemore robbery chase obsession detective heist thief honor murder betrayal gang los angeles, california cat and mouse bank robbery criminal mastermind cynical ex-con one last job loner bank job neo-noir crime epic tense antagonistic audacious bold","Heat Action Crime Thriller 1995 Al Pacino Robert De Niro Val Kilmer Jon Voight Tom Sizemore robbery chase obsession detective heist thief honor murder betrayal gang los angeles, california cat and mouse bank robbery criminal mastermind cynical ex-con one last job loner bank job neo-noir crime epic tense antagonistic audacious bold"
7,Sabrina (1995),Comedy|Romance,11860.0,1995,Sabrina,"Harrison Ford Julia Ormond Greg Kinnear Nancy Marchand John Wood chauffeur sibling relationship paris, france transformation birthday party family business  long island, new york playboy teenage crush millionaire marriage engagement high society merger impossible love family disapproval scheme wealth differences wealthy family father daughter relationship brother brother relationship unlikely romance romantic","Sabrina Comedy Romance 1995 Harrison Ford Julia Ormond Greg Kinnear Nancy Marchand John Wood chauffeur sibling relationship paris, france transformation birthday party family business  long island, new york playboy teenage crush millionaire marriage engagement high society merger impossible love family disapproval scheme wealth differences wealthy family father daughter relationship brother brother relationship unlikely romance romantic"
8,Tom and Huck (1995),Adventure|Children,45325.0,1995,Tom and Huck,Jonathan Taylor Thomas Brad Renfro Eric Schweig Charles Rocket Amy Wright based on novel or book mississippi river male friendship,Tom and Huck Adventure Children 1995 Jonathan Taylor Thomas Brad Renfro Eric Schweig Charles Rocket Amy Wright based on novel or book mississippi river male friendship
9,Sudden Death (1995),Action,9091.0,1995,Sudden Death,"Jean-Claude Van Damme Powers Boothe Raymond J. Barry Whittni Wright Ross Malinger explosive hostage ice hockey terrorism vice president pittsburgh, pennsylvania pittsburgh penguins","Sudden Death Action 1995 Jean-Claude Van Damme Powers Boothe Raymond J. Barry Whittni Wright Ross Malinger explosive hostage ice hockey terrorism vice president pittsburgh, pennsylvania pittsburgh penguins"
10,GoldenEye (1995),Action|Adventure|Thriller,710.0,1995,GoldenEye,,GoldenEye Action Adventure Thriller 1995 
